yī_gè nán_rén	yī-gè nán-rén	y_C4_AB_g_C3_A8_n_C3_A1n_r_C3_A9n
yī_gè hēi māo	yī-gè hēi māo	y_C4_AB_g_C3_A8_h_C4_93i_m_C4_81o
tā de māo shì hēi_sè	tā de māo shì hēi-sè	t_C4_81_de_m_C4_81o_sh_C3_AC_h_C4_93i_s_C3_A8
yī_gè xiǎo māo	yī-gè xiǎo māo	y_C4_AB_g_C3_A8_xi_C7_8Eo_m_C4_81o
tā de māo shì xiǎo	tā de māo shì xiǎo	t_C4_81_de_m_C4_81o_sh_C3_AC_xi_C7_8Eo
yī_gè gǒu	yī-gè gǒu	y_C4_AB_g_C3_A8_g_C7_92u
gǒu	gǒu	g_C7_92u
zhè_gè gǒu	zhè-gè gǒu	zh_C3_A8_g_C3_A8_g_C7_92u
wǒ de gǒu	wǒ de gǒu	w_C7_92_de_g_C7_92u
wǒ fù_qīn de gǒu	wǒ fù-qīn de gǒu	w_C7_92_f_C3_B9_q_C4_ABn_de_g_C7_92u
tā de gǒu	tā de gǒu	t_C4_81_de_g_C7_92u
tā fù_qīn de gǒu	tā fù-qīn de gǒu	t_C4_81_f_C3_B9_q_C4_ABn_de_g_C7_92u
tā de gǒu	tā de gǒu	t_C4_81_de_g_C7_92u
tā fù_qīn de gǒu	tā fù-qīn de gǒu	t_C4_81_f_C3_B9_q_C4_ABn_de_g_C7_92u
yī_gè bāo_bāo	yī-gè bāo-bāo	y_C4_AB_g_C3_A8_b_C4_81o_b_C4_81o
bāo_bāo	bāo-bāo	b_C4_81o_b_C4_81o
zhè_gè bāo_bāo	zhè-gè bāo-bāo	zh_C3_A8_g_C3_A8_b_C4_81o_b_C4_81o
wǒ yào yī_gè bāo_bāo	wǒ yào yī-gè bāo-bāo	w_C7_92_y_C3_A0o_y_C4_AB_g_C3_A8_b_C4_81o_b_C4_81o
tā yào {yī_gè (bāo_bāo)}	tā yào yī-gè	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_b_C4_81o_b_C4_81o
wǒ yào yī_gè chē	wǒ yào yī-gè chē	w_C7_92_y_C3_A0o_y_C4_AB_g_C3_A8_ch_C4_93
tā yào { yī_gè (chē)}	tā yào yī-gè	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_ch_C4_93
wǒ yào yī_gè fáng_zi	wǒ yào yī-gè fáng-zi	w_C7_92_y_C3_A0o_y_C4_AB_g_C3_A8_f_C3_A1ng_zi
tā yào yī_gè fáng_zi	tā yào yī-gè fáng-zi	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_f_C3_A1ng_zi
yī_gè nǚ_rén	yī-gè nǚ-rén	y_C4_AB_g_C3_A8_n_C7_9A_r_C3_A9n
nǚ_rén	nǚ-rén	n_C7_9A_r_C3_A9n
{zhè_gé nǚ_rén}	zhè-gé nǚ-rén	zh_C3_A8_g_C3_A9_n_C7_9A_r_C3_A9n
tā yào yī_gè chē	tā yào yī-gè chē	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_ch_C4_93
zhè_gé nǚ_rén yào yī_gè chē	zhè-gé nǚ-rén yào yī-gè chē	zh_C3_A8_g_C3_A9_n_C7_9A_r_C3_A9n_y_C3_A0o_y_C4_AB_g_C3_A8_ch_C4_93
tā yào yī_gè bāo_bāo	tā yào yī-gè bāo-bāo	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_b_C4_81o_b_C4_81o
zhè_gé nǚ_rén yào yī_gè bāo_bāo	zhè-gé nǚ-rén yào yī-gè bāo-bāo	zh_C3_A8_g_C3_A9_n_C7_9A_r_C3_A9n_y_C3_A0o_y_C4_AB_g_C3_A8_b_C4_81o_b_C4_81o
tā yào yī_gè fang_zi	tā yào yī-gè fang-zi	t_C4_81_y_C3_A0o_y_C4_AB_g_C3_A8_fang_zi
zhè_ge nǚ_rén yào yī_gè fáng_zi	zhè-ge nǚ-rén yào yī-gè fáng-zi	zh_C3_A8_ge_n_C7_9A_r_C3_A9n_y_C3_A0o_y_C4_AB_g_C3_A8_f_C3_A1ng_zi
yī_gè fáng_zi	yī-gè fáng-zi	y_C4_AB_g_C3_A8_f_C3_A1ng_zi
fáng_zi	fáng-zi	f_C3_A1ng_zi
zhè_ge fáng_zi	zhè-ge fáng-zi	zh_C3_A8_ge_f_C3_A1ng_zi
{yī_gè [​​xīn ] fáng_zi }	yī-gè xīn fáng-zi	y_C4_AB_g_C3_A8_x_C4_ABn_f_C3_A1ng_zi
zhè_ge fáng_zi shì xīn de	zhè-ge fáng-zi shì xīn de	zh_C3_A8_ge_f_C3_A1ng_zi_sh_C3_AC_x_C4_ABn_de
{yī_gè [​​jiù ] fáng_zi }	yī-gè jiù fáng-zi	y_C4_AB_g_C3_A8_ji_C3_B9_f_C3_A1ng_zi
zhè_ge fáng_zi shì jiù de	zhè-ge fáng-zi shì jiù de	zh_C3_A8_ge_f_C3_A1ng_zi_sh_C3_AC_ji_C3_B9_de
yī_gè hǎo de fáng_zi	yī-gè hǎo de fáng-zi	y_C4_AB_g_C3_A8_h_C7_8Eo_de_f_C3_A1ng_zi
zhè_ge fáng_zi shì hǎo de	zhè-ge fáng-zi shì hǎo de	zh_C3_A8_ge_f_C3_A1ng_zi_sh_C3_AC_h_C7_8Eo_de
wǒ_men yào yī_gè fáng_zi	wǒ-men yào yī-gè fáng-zi	w_C7_92_men_y_C3_A0o_y_C4_AB_g_C3_A8_f_C3_A1ng_zi
wǒ_men yào yī_gè xīn de fáng_zi	wǒ-men yào yī-gè xīn de fáng-zi	w_C7_92_men_y_C3_A0o_y_C4_AB_g_C3_A8_x_C4_ABn_de_f_C3_A1ng_zi
tā_men yào yī_gè fángzi	tā-men yào yī-gè fángzi	t_C4_81_men_y_C3_A0o_y_C4_AB_g_C3_A8_f_C3_A1ngzi
tā_men yào yī_gè xīn fáng_zi	tā-men yào yī-gè xīn fáng-zi	t_C4_81_men_y_C3_A0o_y_C4_AB_g_C3_A8_x_C4_ABn_f_C3_A1ng_zi
wǒ_men yào yī_gè hǎo de fáng_zi	wǒ-men yào yī-gè hǎo de fáng-zi	w_C7_92_men_y_C3_A0o_y_C4_AB_g_C3_A8_h_C7_8Eo_de_f_C3_A1ng_zi
tā_men yào yīgè hǎo de fángzi	tā-men yào yīgè hǎo de fángzi	t_C4_81_men_y_C3_A0o_y_C4_ABg_C3_A8_h_C7_8Eo_de_f_C3_A1ngzi
shén_me?	shén-me	sh_C3_A9n_me
Nǎ_lǐ?	nǎ-lǐ	n_C7_8E_l_C7_90
Jǐ_diǎn?	jǐ-diǎn	j_C7_90_di_C7_8En
Shuí?	shuí	shu_C3_AD
Wèi_shén_me?	wèi-shén-me	w_C3_A8i_sh_C3_A9n_me
Zěn_me yàng?	zěn-me yàng	z_C4_9Bn_me_y_C3_A0ng
Duō_shǎo?	duō-shǎo	du_C5_8D_sh_C7_8Eo
Nán_rén	nán-rén	n_C3_A1n_r_C3_A9n
nán_rén	nán-rén	n_C3_A1n_r_C3_A9n
zhè_xiē nán_rén	zhè-xiē nán-rén	zh_C3_A8_xi_C4_93_n_C3_A1n_r_C3_A9n
nǐ yào shén_me? (s) % nǐ_men yào shén_me? (p) % nǐn yào shén_me? (r)	nǐ yào shén-me%nǐ-men yào shén-me%nǐn yào shén-me	n_C7_90_y_C3_A0o_sh_C3_A9n_me_s_25n_C7_90_men_y_C3_A0o_sh_C3_A9n_me_p_25n_C7_90n_y_C3_A0o_sh_C3_A9n_me_r
tā yào shén_me?	tā yào shén-me	t_C4_81_y_C3_A0o_sh_C3_A9n_me
zhè_ge nǚ_rén yào shén_me?	zhè-ge nǚ-rén yào shén-me	zh_C3_A8_ge_n_C7_9A_r_C3_A9n_y_C3_A0o_sh_C3_A9n_me
tā yào shén_me?	tā yào shén-me	t_C4_81_y_C3_A0o_sh_C3_A9n_me
zhè_ge nán_rén yào shén_me?	zhè-ge nán-rén yào shén-me	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_y_C3_A0o_sh_C3_A9n_me
Tā_men yào shén_me?	tā-men yào shén-me	t_C4_81_men_y_C3_A0o_sh_C3_A9n_me
zhè_xiē nán_rén yào shén_me?	zhè-xiē nán-rén yào shén-me	zh_C3_A8_xi_C4_93_n_C3_A1n_r_C3_A9n_y_C3_A0o_sh_C3_A9n_me
Tāng	tāng	t_C4_81ng
mǐ	mǐ	m_C7_90
miàn	miàn	mi_C3_A0n
miàn_bāo	miàn-bāo	mi_C3_A0n_b_C4_81o
shā_lā	shā-lā	sh_C4_81_l_C4_81
qǐ_sī	qǐ-sī	q_C7_90_s_C4_AB
jī	jī	j_C4_AB
ròu	ròu	r_C3_B2u
shū_cài	shū-cài	sh_C5_AB_c_C3_A0i
yú	yú	y_C3_BA
shuǐ_guǒ	shuǐ-guǒ	shu_C7_90_gu_C7_92
zhū_ròu	zhū-ròu	zh_C5_AB_r_C3_B2u
tā	tā	t_C4_81
tā	tā	t_C4_81
Wǒ	wǒ	w_C7_92
wǒ_men	wǒ-men	w_C7_92_men
tā_men	tā-men	t_C4_81_men
ní (s) % ní_men (p) % nín (r)	ní%ní-men%nín	n_C3_AD_s_25n_C3_AD_men_p_25n_C3_ADn_r
tā	tā	t_C4_81
zhè shì shén_me?	zhè shì shén-me	zh_C3_A8_sh_C3_AC_sh_C3_A9n_me
zhēn yàng le?	zhēn yàng le	zh_C4_93n_y_C3_A0ng_le
hái yǒu shén_me?	hái yǒu shén-me	h_C3_A1i_y_C7_92u_sh_C3_A9n_me
Zěn_me le?	zěn-me le	z_C4_9Bn_me_le
Wǒ yào chī	wǒ yào chī	w_C7_92_y_C3_A0o_ch_C4_AB
tā yào chī	tā yào chī	t_C4_81_y_C3_A0o_ch_C4_AB
wǒ yào hè	wǒ yào hè	w_C7_92_y_C3_A0o_h_C3_A8
tā yào hē	tā yào hē	t_C4_81_y_C3_A0o_h_C4_93
wǒ yào dú	wǒ yào dú	w_C7_92_y_C3_A0o_d_C3_BA
tā yào dú	tā yào dú	t_C4_81_y_C3_A0o_d_C3_BA
wǒ chī	wǒ chī	w_C7_92_ch_C4_AB
wǒ_men chī	wǒ-men chī	w_C7_92_men_ch_C4_AB
tā chī	tā chī	t_C4_81_ch_C4_AB
nǐ chī (s) % nǐ_men chī (p) % nǐn chī (r)	nǐ chī%nǐ-men chī%nǐn chī	n_C7_90_ch_C4_AB_s_25n_C7_90_men_ch_C4_AB_p_25n_C7_90n_ch_C4_AB_r
tā_men chī	tā-men chī	t_C4_81_men_ch_C4_AB
wǒ chī {miàn_tiáo}	wǒ chī miàn-tiáo	w_C7_92_ch_C4_AB_mi_C3_A0n_ti_C3_A1o
tā chī miàn	tā chī miàn	t_C4_81_ch_C4_AB_mi_C3_A0n
tā chī shuǐ_guǒ	tā chī shuǐ-guǒ	t_C4_81_ch_C4_AB_shu_C7_90_gu_C7_92
wǒ_men chī yú	wǒ-men chī yú	w_C7_92_men_ch_C4_AB_y_C3_BA
tā_men chī qǐ_sī	tā-men chī qǐ-sī	t_C4_81_men_ch_C4_AB_q_C7_90_s_C4_AB
nǐ chī jī_ròu (s) % nǐ_men chī jī_ròu (p) % nǐn chī jī_ròu (r)	nǐ chī jī-ròu%nǐ-men chī jī-ròu%nǐn chī jī-ròu	n_C7_90_ch_C4_AB_j_C4_AB_r_C3_B2u_s_25n_C7_90_men_ch_C4_AB_j_C4_AB_r_C3_B2u_p_25n_C7_90n_ch_C4_AB_j_C4_AB_r_C3_B2u_r
wǒ bù chī ròu	wǒ bù chī ròu	w_C7_92_b_C3_B9_ch_C4_AB_r_C3_B2u
tā bù chī ròu	tā bù chī ròu	t_C4_81_b_C3_B9_ch_C4_AB_r_C3_B2u
wǒ bù chī zhū_ròu	wǒ bù chī zhū-ròu	w_C7_92_b_C3_B9_ch_C4_AB_zh_C5_AB_r_C3_B2u
tā bù chī zhū_ròu	tā bù chī zhū-ròu	t_C4_81_b_C3_B9_ch_C4_AB_zh_C5_AB_r_C3_B2u
tā_men bù chī yú	tā-men bù chī yú	t_C4_81_men_b_C3_B9_ch_C4_AB_y_C3_BA
tā_men bù chī qǐ_sī	tā-men bù chī qǐ-sī	t_C4_81_men_b_C3_B9_ch_C4_AB_q_C7_90_s_C4_AB
Tā bù chī miàn	tā bù chī miàn	t_C4_81_b_C3_B9_ch_C4_AB_mi_C3_A0n
tā bù chī shuǐ_guǒ	tā bù chī shuǐ-guǒ	t_C4_81_b_C3_B9_ch_C4_AB_shu_C7_90_gu_C7_92
nǐ zuò shén_me? (s) % nǐ_men zuò shén_me? (p) % nǐn zuò shén_me? (r)	nǐ zuò shén-me%nǐ-men zuò shén-me%nǐn zuò shén-me	n_C7_90_zu_C3_B2_sh_C3_A9n_me_s_25n_C7_90_men_zu_C3_B2_sh_C3_A9n_me_p_25n_C7_90n_zu_C3_B2_sh_C3_A9n_me_r
Nǐ shuō shén_me? (s) % Nǐ_men shuō shén_me? (p) % Nǐn shuō shén_me?(r)	nǐ shuō shén-me%nǐ-men shuō shén-me%nǐn shuō shén-me	n_C7_90_shu_C5_8D_sh_C3_A9n_me_s_25n_C7_90_men_shu_C5_8D_sh_C3_A9n_me_p_25n_C7_90n_shu_C5_8D_sh_C3_A9n_me_r
Tā zuò shén_me?	tā zuò shén-me	t_C4_81_zu_C3_B2_sh_C3_A9n_me
Tā shuō shén_me?	tā shuō shén-me	t_C4_81_shu_C5_8D_sh_C3_A9n_me
Tā zuò shén_me?	tā zuò shén-me	t_C4_81_zu_C3_B2_sh_C3_A9n_me
Tā shuō shén_me?	tā shuō shén-me	t_C4_81_shu_C5_8D_sh_C3_A9n_me
Nǐ shì shuí? (s) % Nǐ_men shì shuí? (p) % Nǐn shì shuí? (r)	nǐ shì shuí%nǐ-men shì shuí%nǐn shì shuí	n_C7_90_sh_C3_AC_shu_C3_AD_s_25n_C7_90_men_sh_C3_AC_shu_C3_AD_p_25n_C7_90n_sh_C3_AC_shu_C3_AD_r
Tā shì shuí?	tā shì shuí	t_C4_81_sh_C3_AC_shu_C3_AD
Shuí shì zhè_ge nán_rén?	shuí shì zhè-ge nán-rén	shu_C3_AD_sh_C3_AC_zh_C3_A8_ge_n_C3_A1n_r_C3_A9n
Tā shì shuí?	tā shì shuí	t_C4_81_sh_C3_AC_shu_C3_AD
Shuí shì zhè_ge nǚ_rén?	shuí shì zhè-ge nǚ-rén	shu_C3_AD_sh_C3_AC_zh_C3_A8_ge_n_C7_9A_r_C3_A9n
Tā_men shì shuí?	tā-men shì shuí	t_C4_81_men_sh_C3_AC_shu_C3_AD
Shuí shì zhè_xiē nán_rén?	shuí shì zhè-xiē nán-rén	shu_C3_AD_sh_C3_AC_zh_C3_A8_xi_C4_93_n_C3_A1n_r_C3_A9n
Wǒ shuō yīng_yǔ	wǒ shuō yīng-yǔ	w_C7_92_shu_C5_8D_y_C4_ABng_y_C7_94
tā shuō yīng_yǔ	tā shuō yīng-yǔ	t_C4_81_shu_C5_8D_y_C4_ABng_y_C7_94
wǒ_men shuō yīng_yǔ	wǒ-men shuō yīng-yǔ	w_C7_92_men_shu_C5_8D_y_C4_ABng_y_C7_94
tā_men shuō yīng_yǔ	tā-men shuō yīng-yǔ	t_C4_81_men_shu_C5_8D_y_C4_ABng_y_C7_94
nǐ shuō yīng_yǔ (s) % nǐ_men shuō yīng_yǔ (p) % nǐn shuō yīng_yǔ (r)	nǐ shuō yīng-yǔ%nǐ-men shuō yīng-yǔ%nǐn shuō yīng-yǔ	n_C7_90_shu_C5_8D_y_C4_ABng_y_C7_94_s_25n_C7_90_men_shu_C5_8D_y_C4_ABng_y_C7_94_p_25n_C7_90n_shu_C5_8D_y_C4_ABng_y_C7_94_r
tā shuō yīng_yǔ	tā shuō yīng-yǔ	t_C4_81_shu_C5_8D_y_C4_ABng_y_C7_94
rén	rén	r_C3_A9n
rén	rén	r_C3_A9n
zhè_xiē rén	zhè-xiē rén	zh_C3_A8_xi_C4_93_r_C3_A9n
wǒ bù shuō yīng_yǔ	wǒ bù shuō yīng-yǔ	w_C7_92_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
tā bù shuō yīng_yǔ	tā bù shuō yīng-yǔ	t_C4_81_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
zhè_ge nǚ_rén bù shuō yīng_yǔ	zhè-ge nǚ-rén bù shuō yīng-yǔ	zh_C3_A8_ge_n_C7_9A_r_C3_A9n_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
tā bù shuō yīngyǔ	tā bù shuō yīngyǔ	t_C4_81_b_C3_B9_shu_C5_8D_y_C4_ABngy_C7_94
zhè_ge Nán_rén bù shuō yīng_yǔ	zhè-ge nán-rén bù shuō yīng-yǔ	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
tā_men bù shuō yīng_yǔ	tā-men bù shuō yīng-yǔ	t_C4_81_men_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
zhè_xiē rén bù shuō yīng_yǔ	zhè-xiē rén bù shuō yīng-yǔ	zh_C3_A8_xi_C4_93_r_C3_A9n_b_C3_B9_shu_C5_8D_y_C4_ABng_y_C7_94
nǐ shuō yīng_yǔ ma?	nǐ shuō yīng-yǔ ma	n_C7_90_shu_C5_8D_y_C4_ABng_y_C7_94_ma
Tā shuō yīng_yǔ ma?	tā shuō yīng-yǔ ma	t_C4_81_shu_C5_8D_y_C4_ABng_y_C7_94_ma
zhè_ge nǚ_rén shuō yīng_yǔ ma?	zhè-ge nǚ-rén shuō yīng-yǔ ma	zh_C3_A8_ge_n_C7_9A_r_C3_A9n_shu_C5_8D_y_C4_ABng_y_C7_94_ma
Tā shuō yīng_yǔ ma?	tā shuō yīng-yǔ ma	t_C4_81_shu_C5_8D_y_C4_ABng_y_C7_94_ma
zhè_ge Nán_rén shuō yīng_yǔ ma?	zhè-ge nán-rén shuō yīng-yǔ ma	zh_C3_A8_ge_n_C3_A1n_r_C3_A9n_shu_C5_8D_y_C4_ABng_y_C7_94_ma
tā_men shuō yīng_yǔ ma?	tā-men shuō yīng-yǔ ma	t_C4_81_men_shu_C5_8D_y_C4_ABng_y_C7_94_ma
zhè_xiē rén shuō yīng_yǔ ma?	zhè-xiē rén shuō yīng-yǔ ma	zh_C3_A8_xi_C4_93_r_C3_A9n_shu_C5_8D_y_C4_ABng_y_C7_94_ma
Wǒ de míng_zì	wǒ de míng-zì	w_C7_92_de_m_C3_ADng_z_C3_AC
tā de míng_zì	tā de míng-zì	t_C4_81_de_m_C3_ADng_z_C3_AC
tā de míngz_ì	tā de míngz-ì	t_C4_81_de_m_C3_ADngz__C3_AC
nǐ de míngzì (s) % nǐ_men de míngzì (p) % nǐn de míngzì (r)	nǐ de míngzì%nǐ-men de míngzì%nǐn de míngzì	n_C7_90_de_m_C3_ADngz_C3_AC_s_25n_C7_90_men_de_m_C3_ADngz_C3_AC_p_25n_C7_90n_de_m_C3_ADngz_C3_AC_r
nǐ de míngzì Shì shén_me? (s) % nǐ_men de míngzì Shì shén_me? (p) % nǐn de míngzì Shì shén_me? (r)	nǐ de míngzì shì shén-me%nǐ-men de míngzì shì shén-me%nǐn de míngzì shì shén-me	n_C7_90_de_m_C3_ADngz_C3_AC_sh_C3_AC_sh_C3_A9n_me_s_25n_C7_90_men_de_m_C3_ADngz_C3_AC_sh_C3_AC_sh_C3_A9n_me_p_25n_C7_90n_de_m_C3_ADngz_C3_AC_sh_C3_AC_sh_C3_A9n_me_r
Tā de míngzì Shì shén_me?	tā de míngzì shì shén-me	t_C4_81_de_m_C3_ADngz_C3_AC_sh_C3_AC_sh_C3_A9n_me
Tā de míngzì Shì shén_me?	tā de míngzì shì shén-me	t_C4_81_de_m_C3_ADngz_C3_AC_sh_C3_AC_sh_C3_A9n_me
Dì_zhǐ	dì-zhǐ	d_C3_AC_zh_C7_90
wǒ de dì_zhǐ	wǒ de dì-zhǐ	w_C7_92_de_d_C3_AC_zh_C7_90
